index,NMId,ObsRPShape,Poros,Darcy,ConcIn,PvIn,pH,IonStr,SaltType,ColumnLWRatio,PartDensity,PartIEP,pHIEPDist,PartZeta,CollecZeta,PartDiam,CollecDiam,PartCollSizeRatio,Coating,ConcHA,TypeNOM,Hamaker,Dispersivity,NanoSize,mbEffluent,mbRetained,mbEffluent_norm,mbRetained_norm
59,TiO2,SIR,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.1,CaCl2,5,4.51E+03,6,-1,25.59,27.21,4.68E-07,5.10E-04,9.18E-04,IronOxide,1.00E-03,SRHA,,,,0.0329,0.9034,0.035,0.965
60,TiO2,IRwD,4.20E-01,4.63E-05,5.00E-02,4.5,5,0.1,CaCl2,5,4.51E+03,6,-1,-31.98,27.21,4.68E-07,5.10E-04,9.18E-04,IronOxide,1.00E-02,SRHA,,,,0.5868,0.3223,0.645,0.355
61,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.1,NaCl,5,4.51E+03,6,-1,-22.71,26.82,4.65E-07,5.10E-04,9.11E-04,IronOxide,0.00E+00,None,,,,0.0288,0.9152,0.031,0.969
62,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.1,NaCl,5,4.51E+03,6,-1,-47.44,26.82,4.36E-07,5.10E-04,8.55E-04,IronOxide,1.00E-03,SRHA,,,,,,,
63,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.1,NaCl,5,4.51E+03,6,-1,-49.29,26.82,4.77E-07,5.10E-04,9.35E-04,IronOxide,1.00E-02,SRHA,,,,,,,
64,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,1,NaCl,5,4.51E+03,6,-1,-19.87,23.29,9.10E-07,5.10E-04,1.78E-03,IronOxide,0.00E+00,None,,,,0.0284,0.8503,0.032,0.968
65,TiO2,SIR,4.20E-01,4.63E-05,5.00E-02,4.5,7,1,NaCl,5,4.51E+03,6,-1,-46.79,23.29,4.72E-07,5.10E-04,9.26E-04,IronOxide,1.00E-03,SRHA,,,,0.0563,0.844,0.063,0.937
66,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,7,1,NaCl,5,4.51E+03,6,-1,-48.02,23.29,4.78E-07,5.10E-04,9.38E-04,IronOxide,1.00E-02,SRHA,,,,0.7073,0.2221,0.761,0.239
67,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,10,NaCl,5,4.51E+03,6,-1,-14.19,21.73,1.33E-06,5.10E-04,2.61E-03,IronOxide,0.00E+00,None,,,,0.0201,1.0429,0.019,0.981
68,TiO2,SIR,4.20E-01,4.63E-05,5.00E-02,4.5,7,10,NaCl,5,4.51E+03,6,-1,-46.54,21.73,4.82E-07,5.10E-04,9.45E-04,IronOxide,1.00E-03,SRHA,,,,0.0934,0.8566,0.098,0.902
69,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,7,10,NaCl,5,4.51E+03,6,-1,-48.88,21.73,5.09E-07,5.10E-04,9.98E-04,IronOxide,1.00E-02,SRHA,,,,0.5616,0.3538,0.614,0.386
70,TiO2,EXP,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.01,CaCl2,5,4.51E+03,6,-1,-22.62,27.51,4.64E-07,5.10E-04,9.10E-04,IronOxide,0.00E+00,None,,,,0.0185,0.9563,0.019,0.981
71,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.01,CaCl2,5,4.51E+03,6,-1,-44.51,27.51,4.39E-07,5.10E-04,8.60E-04,IronOxide,1.00E-03,SRHA,,,,,,,
72,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.01,CaCl2,5,4.51E+03,6,-1,-52.68,27.51,4.57E-07,5.10E-04,8.96E-04,IronOxide,1.00E-02,SRHA,,,,,,,
73,TiO2,EXP,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.05,CaCl2,5,4.51E+03,6,-1,-19.04,25.35,5.55E-07,5.10E-04,1.09E-03,IronOxide,0.00E+00,None,,,,0.0273,0.9156,0.029,0.971
74,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.05,CaCl2,5,4.51E+03,6,-1,-36.64,25.35,4.32E-07,5.10E-04,8.47E-04,IronOxide,1.00E-03,SRHA,,,,,,,
75,TiO2,,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.05,CaCl2,5,4.51E+03,6,-1,-46.75,25.35,4.73E-07,5.10E-04,9.27E-04,IronOxide,1.00E-02,SRHA,,,,,,,
76,TiO2,EXP,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.1,CaCl2,5,4.51E+03,6,-1,-17.38,24.66,7.74E-07,5.10E-04,1.52E-03,IronOxide,0.00E+00,None,,,,0.019,0.9229,0.02,0.98
77,TiO2,SIR,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.1,CaCl2,5,4.51E+03,6,-1,-32.37,24.66,4.54E-07,5.10E-04,8.91E-04,IronOxide,1.00E-03,SRHA,,,,0.0595,0.8792,0.063,0.937
78,TiO2,HE,4.20E-01,4.63E-05,5.00E-02,4.5,7,0.1,CaCl2,5,4.51E+03,6,-1,-30.43,24.66,4.56E-07,5.10E-04,8.94E-04,IronOxide,1.00E-02,SRHA,,,,0.6579,0.2463,0.728,0.272
79,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.1,CaCl2,5,5610,9.4,-1.4,-17.9,-50.1,4.24E-07,0.00051,0.000832,None,0,None,,,0,0.611,0.426,0.589199614,0.410800386
80,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.3,CaCl2,5,5610,9.4,-1.4,-12.8,-47,4.37E-07,0.00051,0.000856,None,0,None,,,0,0.46,0.483,0.487804878,0.512195122
81,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.5,CaCl2,5,5610,9.4,-1.4,-11,-40.7,4.57E-07,0.00051,0.000896,None,0,None,,,0,0.235,0.632,0.271049596,0.728950404
82,ZnO,EXP,0.42,9.26E-05,0.005,3,8,1,CaCl2,5,5610,9.4,-1.4,-7.8,-34,5.07E-07,0.00051,0.000994,None,0,None,,,0,0.155,0.755,0.17032967,0.82967033
83,ZnO,HE,0.42,9.26E-05,0.005,3,8,1,NaCl,5,5610,9.4,-1.4,-35.2,-72.3,3.87E-07,0.00051,0.000759,None,0,None,,,0,0.654,0.273,0.705501618,0.294498382
84,ZnO,HE,0.42,9.26E-05,0.005,3,8,10,NaCl,5,5610,9.4,-1.4,-22.3,-67.6,4.83E-07,0.00051,0.000947,None,0,None,,,0,0.301,0.755,0.285037879,0.714962121
85,ZnO,HE,0.42,9.26E-05,0.005,3,8,20,NaCl,5,5610,9.4,-1.4,-16.2,-61.4,5.83E-07,0.00051,0.00114,None,0,None,,,0,0.13,0.854,0.132113821,0.867886179
86,ZnO,HE,0.42,9.26E-05,0.005,3,8,5,NaCl,5,5610,9.4,-1.4,-13.3,-60.3,6.03E-07,0.00051,0.00118,None,0,None,,,0,0.411,0.503,0.449671772,0.550328228
87,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.1,CaCl2,5,5610,9.4,-1.4,-17.9,-50.2,4.24E-07,0.00051,0.000832,None,0,None,,,0,0.611,0.426,0.589199614,0.410800386
88,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.1,CaCl2,5,5610,9.4,-1.4,-28,-50.2,3.03E-07,0.00051,0.000595,None,0.001,Alg,,,0,0.632,0.209,0.751486326,0.248513674
89,ZnO,EXP,0.42,9.26E-05,0.005,3,8,0.1,CaCl2,5,5610,9.4,-1.4,-29.6,-50.2,2.90E-07,0.00051,0.000568,None,0.001,SRHA,,,0,0.695,0.185,0.789772727,0.210227273
90,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.3,CaCl2,5,5610,9.4,-1.4,-14.8,-47,4.37E-07,0.00051,0.000856,None,0,None,,,0,0.46,0.483,0.487804878,0.512195122
91,ZnO,EXP,0.42,9.26E-05,0.005,3,8,0.3,CaCl2,5,5610,9.4,-1.4,-19,-47,3.12E-07,0.00051,0.000612,None,0.001,Alg,,,0,0.625,0.219,0.740521327,0.259478673
92,ZnO,EXP,0.42,9.26E-05,0.005,3,8,0.3,CaCl2,5,5610,9.4,-1.4,-13.9,-47,3.20E-07,0.00051,0.000626,None,0.001,SRHA,,,0,0.655,0.19,0.775147929,0.224852071
